title, under-title, description
"Portfolio", "Mitchel Vonk", "Ik ben Mitchel Vonk, een enthousiaste, Leergierige .NET developer die studeert aan het Media College in Amsterdam"
"Portfolio", "Mitchel Vonk", "Hi! I am Mitchel Vonk, an enthusiastic .NET developer who currently studies at Media College in Amsterdam"
