title, under-title, description, page-title-extension
"Portfolio", "Mitchel Vonk", "Ik ben Mitchel Vonk, een enthousiaste, Leergierige .NET developer die studeert aan het Mediacollege in Amsterdam", "- Home"
"Portfolio", "Mitchel Vonk", "Hi! I am Mitchel Vonk, an enthusiastic .NET developer who currently studies at Media College in Amsterdam", "- Home"
