title, under-title, description, page-title-extension
"Line Collisions", "Line collisions middels vector-resolution", "Een simpel voorbeeld van line collisions met behulp van Vector Resolution", "- Line Collisions"
"Line Collisions", "Line collisions with the use of vector-resolution", ,"- Line Collisions"
