title, description, page-title-extension, page-icon, banner-img, theme-colour
"MA Projecten", "De Projecten waar ik aan heb gewerkt tijdens mijn studie aan het ma", "- MA Projecten", "./images/AboutMeCroppedHead.webp", "./images/Starfall.jpg", "#ff00ff"
"Ma Projects", "The projects I worked on during my studies at the Media College in Amsterdam", "- Ma Projects", "./images/AboutMeCroppedHead.webp", "./images/Starfall.jpg", "#ff00ff"
