title, description, page-title-extension, page-icon, banner-img, theme-colour
"Simulatie Centrum Maritiem", "De projecten waar ik aan heb gewerkt tijdens mijn stage aan het Simulatie Centrum Maritiem", "- SCM", null, "./images/WHC/WHC7.png", "#03A9F4"
"Simulatie Centrum Maritiem", "The projects I worked on during my internship at Simulatie Centrum Maritiem", "- SCM", null, "./images/WHC/WHC7.png", "#03A9F4"
