title, description, page-title-extension, page-icon, banner-img
"Simulatie Centrum Maritiem", "De projecten waar ik aan heb gewerkt tijdens mijn stage aan het SCM", "- SCM", null, null
"Simulatie Centrum Maritiem", "The projects I worked on during my internship at SCM", "- SCM", null, null
